content,sentiment
@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Big fool,neutral
"@YeleSowore @MBuhari @EndSars @mbujari Does that mean you failed to do your research very well before you were jumped up and down before 2015 election, bro don't bother to rationalize anything, you're part of the problems, my takes.",negative
@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Including @MBuhari,neutral
@YeleSowore @MBuhari @EndSars @mbujari #BuhariMustGo,neutral
@YeleSowore @MBuhari @EndSars @mbujari Lie,neutral
"@YeleSowore @MBuhari @EndSars @mbujari It seems like you have woken up, that's good, the only solution is to support the Biafra oduduwa and others and you will see that part of the world as heaven on earth.thanks",positive
"@YeleSowore @MBuhari @EndSars @mbujari The "" continuity "" off me. Coded word... after flying for hours. Just to say continuity. We are finished.",neutral
@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Just the way they will flush you out.,neutral
@YeleSowore @MBuhari @EndSars @mbujari Biafra or we all die there,neutral
@YeleSowore @Amaka_Ekwo @MBuhari @EndSars @mbujari #Buhari is dead gullible nigeria can't you guys reason for once. Please stop all this propaganda of buhari buhari,negative
@YeleSowore @MBuhari @EndSars @mbujari Why is his nose masks tied to his neck? The more you see the less you understand,neutral
"@YeleSowore @MBuhari @EndSars @mbujari You never rule this country, you are one of the terrorist terrorising this country.",neutral
@YeleSowore @MBuhari @EndSars @mbujari Sowore any grant anywhere?,neutral
@YeleSowore @MBuhari @EndSars @mbujari Nigga said continuity.....we don enter am #EndSARS,neutral
"@YeleSowore @MBuhari @EndSars @mbujari Oloriburuku oba opuro. Ole, ole abatenije oloorun.",neutral
@skaalbgroup @Alexbite1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari My guy has deleted the tweet and Japa.,neutral
@YeleSowore @MBuhari @EndSars @mbujari Divide Nigeria,neutral
@lee_zamba @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Baba don talk am ... Continuity!!!,neutral
@YeleSowore @MBuhari @EndSars @mbujari Aiye me oooo.... Continuity bawo... 😭😭😭,neutral
@KabiruMisali @YeleSowore @MBuhari @EndSars @mbujari Only if u know that u are the one that needs it more @KabiruMisali 🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️,neutral
@YeleSowore @MBuhari @EndSars @mbujari Please they need to test this president reasoning capacity to determine whether he can continue,neutral
@uche_anike @YeleSowore @MBuhari @EndSars @mbujari Thank you for your response,neutral
@YeleSowore @RevolutionNowNg @MBuhari @EndSars @mbujari What a mess,negative
@YeleSowore @MBuhari @EndSars @mbujari Continuity kee u dia,neutral
@basolino1 @YeleSowore @BajTunji @MBuhari @EndSars @mbujari Wow!!!,positive
"@YeleSowore @MBuhari @EndSars @mbujari Continuity of what? We are seeking reordering and mending of a plundered nation, Baba is enforcing a continuity of the troubles and sciopolitical upheavals. That one word is disturbing! PMB, na beg we dey beg you: we don't want continuity of terrorism, kidnapping and poverty.",negative
@EweteOluwasegun @YeleSowore @MBuhari @EndSars @mbujari Really???...,positive
"@stevobj @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari I agree,infact a big one",neutral
@juxcnote @stevobj @YeleSowore @MBuhari @EndSars @mbujari uncircumcised son of jezbel.,neutral
@YeleSowore @MBuhari @EndSars @mbujari Mogbe🙆‍♂️,neutral
@YeleSowore @MBuhari @EndSars @mbujari @YeleSowore  when talking of real kidnapper today you're the one. You kept a lady under same roof taking her GRANTS day and night. the money for 2019 you embezzled it. You constantly take GRANTs for every arrest all in the name of revolution now infact you are a GRANT MASTER.,positive
@YeleSowore @MBuhari @EndSars @mbujari Nigerian government is truly terrorist. It is working hard to turn all NIgerians terrorist. And all cassala go burst.,negative
@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Oga thunder scrap your left armpit hairs. So you're in support of the lekki massacre abi.,neutral
@YeleSowore @MBuhari @EndSars @mbujari Buhari is the Terrorist-in-chief. Know this now,neutral
"#EndSARS Says For The Record, I Quote @YeleSowore:@MBuhari is a Terrorist: @MBuhari ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate.
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo https://t.co/KBqevLcNG4 https://t.co/5pG767CfVn",positive
"@TonyMatt14 @YeleSowore @EndSars Sorry but if Nigeria still exist as a country one of his family member will still be,they will be obedient morons to defend him. As a military head buhari was one of the worst and yet nigerians glorified him as a civilian,this is what we got.",negative
@YeleSowore @MBuhari @EndSars @mbujari Sey e no dey tire you ni😂,neutral
"#EndSARS Says For The Record, I Quote @YeleSowore:@MBuhari is a Terrorist: @MBuhari ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate.
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo https://t.co/KBqevLcNG4",positive
"#EndSARS Says For The Record, I Quote @YeleSowore:@MBuhari is a Terrorist: @MBuhari ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate.
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo 
#BuhariMustGo",positive
@YeleSowore @MBuhari @EndSars @mbujari Those mention above are enemies of this nation and any sensible government will surely flush them out. only lekki lies an exception,positive
@YeleSowore @Opeyemi_Tunde1 @MBuhari @EndSars @mbujari Mr Avran GRANT,neutral
@stevobj @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Make I help quote the “FOOL”,neutral
@bunmifasae @mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Dumbledore,neutral
@YeleSowore @MBuhari @EndSars @mbujari Yahoo boys everywhere you go,neutral
"@YeleSowore @MBuhari @EndSars @mbujari #EndNigeriaNowToSaveLives 
#EndNigeriaNow 
#EndBadGovernanceinNIGERIA 
Follow me I follow back
Follow me I follow back  @couture_fh https://t.co/oGGWciuAJp",neutral
"@YeleSowore @MBuhari @EndSars @mbujari Are u done ???? Eleribu, oponu , ole",neutral
@YeleSowore @MBuhari @EndSars @mbujari Nigerians should expect continuity of #terrirism and #Cow Government. #EndSArs,negative
@YeleSowore @MBuhari @EndSars @mbujari NIGERIA evil people https://t.co/a6OauGvOUf,negative
@YeleSowore @MBuhari @EndSars @mbujari @MBuhari is the main sponsor of terrorist,positive
@YeleSowore @MBuhari @EndSars @mbujari Continuety?,neutral
@YeleSowore @MBuhari @EndSars @mbujari What's the meaning of continuity? 🙄🤔,neutral
@YeleSowore @MBuhari @EndSars @mbujari Confirm,neutral
@skaalbgroup @Alexbite1 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari You are very stupid for this statement....even the Nigerian government never denied given boko haram amnesty in 2018.,negative
@YeleSowore @MBuhari @EndSars @mbujari Palliative thief at it again!!! Grant master,neutral
@YeleSowore @MBuhari @EndSars @mbujari It’s high time u shot ur mouth about PMB if u can’t support Yoruba Nation,positive
@YeleSowore @MBuhari @EndSars @mbujari Buhari is a terrorist,neutral
@YeleSowore @MBuhari @EndSars @mbujari Has @YeleSowore given @callmerahila her grant? #domestic terrorist dedeee. Your sponsors will soon be revealed,neutral
"@YeleSowore @MBuhari @EndSars @mbujari He will not go free 
Where is abacha today ?",positive
@YeleSowore @MBuhari @EndSars @mbujari We move 😂😂😂😂😂,neutral
@YeleSowore @A3Adewunmi @MBuhari @EndSars @mbujari Truth be told,neutral
"@YeleSowore @MBuhari @EndSars @mbujari Abeg is this a president, oh sorry I forgot we don’t have one @OduduwaR",negative
"@skaalbgroup @Alexbite1 @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari So the ones that were televised wete Photoshopped? 
I am also waiting for your response on the names of does given amnesty in Niger-delta during Jonathan's administration

You are reasons the government call the youths lazy",negative
@YeleSowore @MBuhari @EndSars @mbujari Haal God!!,neutral
@YeleSowore @MBuhari @EndSars @mbujari Mask wearer talking nonsense,neutral
"@YeleSowore @MBuhari @EndSars @mbujari The President said his holidays in the UK went well. Was it holidays or medical tourism? On his administration he promised continuity. Is it continuity of current  insecurity, terrorism, banditry and criminality?",neutral
@babangidarimi1 @skaalbgroup @Alexbite1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari m also waiting,neutral
@YeleSowore @MBuhari @EndSars @mbujari @ObyDikeagu @obyezeks @ayemojubar @NOIweala @lindaikeji @GenevieveNnaji1 @HenshawKate @funshographix @Real_AmakaIke @EricaNlewedim @KenRoth @KenErics @firstladyship  @AmakaAnku @OlumideAkpata @troubleralpho @TheTrentOnline @McGingerIbeneme @mikepompeo Information Alert!☝️,neutral
@mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari 2019 election still Dey pain and..Oya insult me too..,neutral
@Alexbite1 @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Who started operation safe corridor bros?,positive
@YeleSowore @MBuhari @EndSars @mbujari Those that he ordered the massacre to them are all terrorist they deserved more than that.,neutral
"@YeleSowore @MBuhari @EndSars @mbujari Biafra freedom new song 🎵 listen 🎶 now ❤❤❤⭐⭐⭐😇😇😇🌅🌅🌅💥💥💥https://t.co/Uf6JFKbM5T

Subscribe like comment and share",positive
"@YeleSowore @MBuhari @EndSars @mbujari #1952Days
Since the inhuman #ZariaGenocide by wicked mass murderer tyrant @MBuhari: @IntlCrimCourt @elrufai

548 men murdered
297 women murdered
193 children murdered
23 pregnant women murdered
39 Shia families wiped out 4rm existence

#FreeZakzaky 
#BuhariObeyCourtOrder https://t.co/KmgcAzByON",positive
@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari 😂😂😂i swear,neutral
@YeleSowore @MBuhari @EndSars @mbujari Werey,neutral
"@YeleSowore @MBuhari @EndSars @mbujari What will we expect of someone that tagged @DrIsaPantami terrorist without evidence and defend ipob, etc..
@YeleSowore you for like defend bk boys now",neutral
"@YeleSowore @MBuhari @EndSars @mbujari For every arrest, there is a grant",negative
@diraes_Ak @YeleSowore @MBuhari @EndSars @mbujari B4 nko...?,neutral
Buhari is a terrorist: @mbuhari ordered the massacre of ; he ordered the massacre of  #IPOB members at a peaceful gathering in a secondary schl; he  ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate @mbujari ordered killings at Obigbo https://t.co/sAkZDS9d4F,positive
"@YeleSowore @MBuhari @EndSars @mbujari @HQNigerianArmy who is sabotaging the efforts of our Military against Terrorist?Is it Nigeria’s Minister of communications (Isa Pantami)A terrorist supporter
many soldiers have paid the supreme price because someone in Buhari’s government is communicating with terrorists #Endsars",positive
@YeleSowore @MBuhari @EndSars @mbujari Continuity of incompetent,negative
@YeleSowore @MBuhari @EndSars @mbujari Buhari is a killer,neutral
@skaalbgroup @Alexbite1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Pls let me know when he reply.,neutral
@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari The rigging still pains every sensible Nigerian.,neutral
@YeleSowore @MBuhari @EndSars @mbujari Where's our grant ???,neutral
"@YeleSowore @MBuhari @EndSars @mbujari Very soon, he will order your arrest for spitting rubbish.",negative
"@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari U are a fool.. do u like how Nigeria is now? Don’t u think Nigeria will be Woking under him? Make use of ur head for once, pity urself",negative
@YeleSowore @calebyung @MBuhari @EndSars @mbujari Go and pay her grant. I guess she’s still waiting🤔,neutral
@Alexbite1 @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Mention one name of Boko Haram Terrorist you know given amnesty,neutral
@YeleSowore @MBuhari @EndSars @mbujari Are you not wondering about this nose mask? @YeleSowore  what is going on?,neutral
@stevobj @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Capital LETTER FOOL,neutral
@YeleSowore @MBuhari @EndSars @mbujari U embark on a mission that will be difficult for u to accomplished.,negative
@YeleSowore @MBuhari @EndSars @mbujari Nigerians really made a wrong choice.,negative
@vinxxehi @Janet_Aderinpe @YeleSowore @MBuhari @EndSars @mbujari 🤷🏽‍♂️,neutral
"@YeleSowore @MBuhari @EndSars @mbujari The man has too much blood in his hands, and he expect to have a good health? Never! He will DIE a mysterious death",positive
@YeleSowore @MBuhari @EndSars @mbujari 3 Grants Prospect 🤔🤔🤔,neutral
@lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Boko Haram are the worst terrorist and anyone that is in support of their terrorism action is also a terrorist.,negative
@YeleSowore @EndSars Buhari has done what he feels is right to do without knowing that; none of his generation can ever become a president of this country. With his perfect record he has kept.,positive
